,position,company,description,location
2,Data Scientist,Xpert Staffing,"Growing company located in the Atlanta, GA area is currently looking to add a Data Scientist to their team. The Data Scientist will analyze business level data to produce actionable insights utilizing analytics tools and languages, etc. R, Python and/or C++: The Data Scientist will serve as the organizationâs leader, helping to grow their data science initiative from a green state. The Data Scientist will also be responsible for advancement of analytical projects from inception to delivery and beyond.
RESPONSIBLITIES;
 1. Leverage Big Data to discover patterns and solve strategic and tactical business problems using massive structured and unstructured data sets across multiple environments
 2. Develop analytical capabilities (modeling and processes) that drive better outcomes for both customers and the company
 3. Drive the collection, cleansing, processing and analysis of new and existing data sources.
 4. Research industry topics impacting opportunities relevant for data analysis projects
 5. Execute complex analyses to aid in reporting and interpretation of analytical findings to build a comprehensive solution.
 6. Demonstrates good judgment and analytical skills to conduct option analysis and present recommendations
 7. Support and resolve issues related to analyses or deliverable in production
 8. Works with internal and external clients to understand, clarify, and analyze requirements to understand the business, and potential, impactful solutions
 9. Mapping of processes to understand opportunities for advanced analytics and product enhancement


Requirements:
5. 1. BA/BS Degree in Business Analysis, Computer Science, Economics, Data Science. Masters degree preferred
 2. 5+ years of Predictive Analytics, Statistical Modeling, Machine Learning a plus
 3. Expect level understanding of analytics tools and language (R, Python, or C++ etc.)
 4. Experienced in Business Analysis, requirement definition
 5. Proven and recent experience working with Sales, Marketing, Supply Chain, and/or Manufacturing Data
 6. Able to navigate and access structured and unstructured data environments (i.e. Hadoop, Oracle, SQL etc)
 7. Experience utilizing internal and external data sources to identify otherwise hidden industry trends to impact product development
 8. Exposure to visualization tools, Tableau/QlikSense
 9. Must be solution-oriented and focused on innovation.
 10. Familiar with scripting language: e.g. Perl, Python or a programming language: e.g. Java
 

To express interest in this position, please Email Resume in MS-Word or .pdf format and attach cover letter with Salary requirements and contact information. Please be sure to reference Job #2093.
 NO SPONSORSHIP AVAILABLE!


Location: Atlanta, GA

Type: Permanent

Salary: $$,$$$ / DOE","Atlanta, GA"
12,Data Scientist,KPMG,"Innovate. Collaborate. Shine. Lighthouse â?KPMG's Center of Excellence for Advanced Analytics â?has both applied data science, AI, and big data architecture capabilities. Here, youâll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects â?covering technologies and solutions from AI to optimization â?and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.
KPMG is currently seeking a Senior Associate to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.
Responsibilities:
Analyze and model structured data using advanced statistical methods and implement algorithms and software needed to perform analyses
Build recommendation engines, spam classifiers, sentiment analyzers and classifiers for unstructured and semi-structured data
Cluster large amount of user generated content and process data in large-scale environments using Amazon EC2, Storm, Hadoop and Spark
Perform machine learning (ML), natural language (NLP), artificial intelligence (AI), text mining and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods
Participate in client engagements focused on big data and advanced business analytics, in diverse domains such as product development, marketing research, public policy, optimization, and risk management; communicate results and educate others through reports and presentations
Perform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns
Qualifications:
A minimum of three years of professional experience working as a Data Scientist
Master's degree or PhD from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields, with a strong mathematical background and ability to understand algorithms and methods from a mathematical viewpoint and an intuitive viewpoint
Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud environment
Strong knowledge in at least one of the following fields: machine learning, data visualization, statistical modeling, data mining, or information retrieval
Strong data extraction and processing, using MapReduce, Pig, and/or Hive preferred
Ability to travel up to eighty percent of the time. Must be legally authorized to work in the US without sponsorship of a VISA.
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, creed, religion, age, sex/gender, national origin, ancestry, citizenship status, marital status, sexual orientation, gender identity or expression, disability, physical or mental handicap unrelated to ability, pregnancy, veteran status, unfavorable discharge from military service, genetic information, personal appearance, family responsibility, matriculation or political affiliation, or other legally protected status. KPMG maintains a drug-free workplace. KPMG will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable local, state or federal law (including San Francisco Ordinance number 131192). No phone calls or agencies please.","Atlanta, GA 30338"
14,Data Scientist,Newell Brands,"Data Science Analystâ?Business Intelligence
Location: Hoboken, NJ or Atlanta, GA
Reports to: Director, Data Science

The Data Science Analyst will play an integral role in helping the company achieve its ambition by ensuring that Newell Brands is leveraging scientific methods and analytics to drive Supply Chain Improvements. Reporting to the Lead Data Scientist within the Supply Chain Transformation Office. The role will be highly visible with impact across all Newell Divisions.

Key Responsibilities:

Develop business requirements for a Supply Chain data repository to consolidate multiple ERP data sources into a comprehensive source for analytics
Partner with the IT organization on the development and implementation of algorithms required to extract and cleanse data into the Supply Chain data repository
Develop and implement diagnostic tools for use by business users to identify performance oppourtunities and root cause for action planning
Develop and implement optimization programs to improve planning outputs for manufacturing and distribution operations

Key Qualifications:

MS in Statistics, Operations Research, or Engineering
2+ years experience developing and applying statistical and operations techniques within a business environment
Ability to communicate complex technical concepts to business partners in Supply Chain and Finance communiites.
Expert level SQL skills with demonstrated experience with large data sets.
Advanced experince with data visualization tools like Tableau, QlikView, Qlik Sense, etc., deploying BI tools at scale
Intermediate experience in open source programming languages (R/Python)
Strong written and verbal communication skills
Interpersonally savvy
Ability to work with and connect with all levels of employees
Strong planning &amp; organizing skills
Initiative &amp; follow-up, including a strong sense of autonomy
Strong Character â?ability to champion the right decision in difficult situations
Demonstrated ability to handle multiple tasks and assignments simultaneously

Newell Brands (NYSE: NWL) is a leading global consumer goods company with a strong portfolio of well-known brands, including Paper Mate, Sharpie, Dymo, EXPO, Parker, Elmers, Coleman, Jostens, Marmot, Oster, Sunbeam, FoodSaver, Mr. Coffee, Rubbermaid Commercial Products, Graco, Baby Jogger, NUK, Calphalon, Rubbermaid, Contigo, First Alert and Yankee Candle. For hundreds of millions of consumers, Newell Brands makes life better every day, where they live, learn, work and play. Newell Brands and its subsidiaries are Equal Opportunity Employers and comply with applicable employment laws. EOE/M/F/Vet/Disabled are encouraged to apply.","Atlanta, GA"
15,Data Scientist,Cotiviti,"Cotiviti is looking for an industry leading Data Scientist to join a revolution in Healthcare and build a first-in-market analytics capability. This is a pioneering data scientist who will participate in expanding the new analytics backbone of the company. Cotivitiâs first-in-market analytics capability is powered by social networking technology and enables a more efficient experience for both healthcare providers and customers. As a Data Scientist at Cotiviti you will be given the opportunity to work directly with a team of healthcare professionals including analysts, clinicians, coding specialists, auditors and innovators to set aggressive goals and execute on them with the team. This is for an ambitious technologist with the guts, flexibility, and personal drive to succeed in a dynamic environment.

Who You Are

Curious: You enjoy peeling apart a problem and examining the interrelationships between data that may appear superficially unrelated.
Creative: You constantly invent and try new approaches to solving problems, which often times have never been applied in such contexts before.
Practical: You explore theories with an eye to the real world application to the business and the potential for improving performance for clients and customers.
Focused: You're intent on designing and testing a technique over periods of days and weeks, discovering what is successful and what should be optimized further. Furthermore, you learn from the failure and trying again.
Determined: You will have both the challenge and opportunity to help design our analytical backend from the ground-up, and therefore must be comfortable as both a team member and a leader in our data science effort.
What You Will be Doing
You will build innovative tools to provide our clients with insights on how to improve their business. You will have responsibility for architecting and developing best-in-class analytics that create quantifiable value for our business. You will have responsibility for establishing and sustaining processes and practices that support big data and analytics solutions and applications in an open source environment. You should have a passion for creating solutions and driving innovation with an interest in collaborating with team members. This role demands time spent working independently and as part of a team. You will also focus on specific deadlines defined by the management team.

Function as Data Scientist which carries the expectation to enhance an SaaS platform that integrates both relational and non-relational databases at scale with both algorithmic logic and front-end interfaces.
Participate in product development with leadership team meetings and communicate with advisors regularly on all matters regarding insights and technology developments.
Define the software architecture of the growing data analytics capability and build substantial portions yourself.
Requirements:

MS or PhD. Degree in relevant discipline (Math, Statistics, Computer Science, Engineering or Health Sciences) required.
3+ yearsâ?experience in advanced analytics.
3+ yearsâ?experience in a data architecture role with deep understanding of architecture principles &amp; best practices.
Experience delivering solutions in an Agile environment.
Working knowledge of the Hadoop ecosystem (including creating and debugging)
Preferred Qualifications:

Proficiency in fully architecting and executing complex analytical backends
Proficiency with Node.js and SQL; Expert proficiency in one or more programming languages such as Scala/Spark, Python, et al; Expert proficiency in at least one statistical modeling program like R, MATLAB, or SAS
Experience in machine learning, artificial intelligence and/or artificial neural networks
Proficiency in applying various mathematical and statistical models to include, but not limited to: Discrete Event Simulation, Factor Analysis, Genetic Algorithms, Bayesian Probability Models, Hidden Markov Models and Sensitivity Analysis
Ability to setup and maintain database for extremely large datasets using current database technologies (ex. Hadoop)
Strong experience in using application programming interfaces (API)
Proficient in the big data ecosystem with familiarity with Hadoop, Yarn, Spark, and/or Storm
Proficient in at least one big data store, for example: hBase, Cassandra, Hive, etc.
Demonstrated technical abilities to engineer products that large datasets, with tools that may include: Cluster computing, Grid Computing, Graphical Processing Unit Computing
Commercial Cloud Systems such as Amazon Elastic Cloud Compute EC2","Atlanta, GA"
18,Data Scientist,Relus Cloud,"DATA SCIENTIST

SUMMARY:
As an Amazon Web Services (AWS) Premier Consulting Partner, Relus Cloud is a trusted advisor for companies across the country that seek to empower their business through cloud transformation. Our business is growing bigger every day and the Relus Cloud team is in need of Data Scientist to help support this growth by applying predictive technology to large volumes of data and against a wide spectrum of business challenges.

Reporting to the Sr. Director of Data and Analytics, the Data Scientist will join the only AWS Premier Consulting Partner headquartered in the Southeast and one of Atlantaâs top workplaces (check out our workplace awards from the AJC and Atlanta Business Chronicle) as we help our customers take advantage of the efficiencies, cost savings, and quick innovation available only in the cloud.

WHAT YOU'LL DO:
Understand the customerâs business need and guide them to a solution using Amazon ML and AI services
Assist customers by being able to deliver a ML/DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building &amp; validating predictive models, and deploying completed models to deliver business impact to the organization
Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models
Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models
Assist customers with identifying model drift and retraining models
Research and implement novel ML and DL approaches, including using FPGA


OUR IDEAL CANDIDATE HAS:
A Bachelor's or Master's Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience
Previous experience in a ML or data scientist role and a track record of building ML or DL models
Experience using Python and/or R
Knowledge of SparkML
Able to write production level code, which is well-written and explainable
Experience using ML libraries
Experience working with GPUs to develop models
Experience handling terabyte size datasets
Track record of diving into data to discover hidden patterns
Familiarity with using data visualization tools
Knowledge and experience of writing and tuning SQL


BENEFITS: Competitive compensation package, comprehensive medical/dental/vision plans, LTD/STD, 401K program, cell phone reimbursement, and excellent interactive training/mentoring programs

COMPANY SUMMARY: Relus Cloud helps customers prepare for growth, eliminate uncertainty, train their technical teams, and move faster in a cloud-first world. As an AWS Premier Consulting Partner, our core competencies are focused on Migrations, DevOps, and Data and Analytics, with an emphasis on strategy consulting, architecture and design, cloud migration, culture change, managed services, and talent delivery. For more information, visit www.reluscloud.com.","Atlanta, GA"
19,Data Scientist,Inspire Brands,"This position is critical to understanding drivers of Arby's current and future business performance in order to develop strategies and recommendations.

The Data Scientist will own the development of a sales forecasting model using numerous existing datasets. I.e., how much of Arby's sales performance is impacted by variables such as media spend, promotions, competitive data, year-on-year trends, external variables, and macroeconomic factors. The Data Scientist will also own the modeling and forecasting of additional key business metrics.
The outputs from these models will be used to develop business strategies and recommendations.

KEY RESPONSIBILITIES:
Statistical modeling -- develop models to describe the relationship between any business-relevant independent and dependent variables
Sales forecast development - analyze all available existing data sets to determine which variables are more predictive of Arby's sales performance
Identification of opportunities for process improvement and innovative solutions to business challenges
Data cleansing/processing -- work with IT to create automated processes to ingest and cleanse data from multiple data sources and vendors
Data management -- work with IT to develop and maintain databases that support marketing and sales analysis

EDUCATION QUALIFICATIONS:
Required Minimum: An undergraduate degree in Computer Science, Statistics, Engineering, Science, or Mathematics
Preferred: A graduate degree, Master's or PhD, in Computer Science, Statistics, Engineering, Science, or Mathematics

EXPERIENCE QUALIFICATION:
Required Minimum: 7+ years of practical experience with data mining and analytics, database structure and ETL, predictive modeling, machine learning, and statistical programming languages

REQUIRED KNOWLEDGE, SKILLS OR ABILITIES:
Deep expertise with statistical programming languages (e.g., R, python), database querying (SQL), and machine learning
Expertise with fundamental statistical analysis
Prior experience with non-theoretical ""messy"" datasets, i.e., datasets with missing values, inconsistent formatting, etc.
Ability to solve problems using data and clearly communicate the results
Personal integrity, humility, an appreciation for the power of true teamwork, and a sense of humor
Passion for the restaurant industry and desire to train in our restaurants to learn operations. A strong desire to help shape the future at Arby's
Minimal travel required","Atlanta, GA"
22,Data Scientist,Norfolk Southern Corp,"Join a growing Data Science and Advanced Analytics team at Norfolk Southern Corporation. The team is using latest cutting edge tools and technologies to develop analytics and solutions to solve business problems from various fields such as engineering, mechanical, communications, marketing &amp; finance.
Principal Duties:
Effectively utilize statistical, data mining, and machine learning techniques, and computer science skills in delivering advanced analytics and decision support systems.
Collaborates with various departments to identify opportunities for process improvement and developing analytics use-cases.
Job Related Experience:
Minimum Level: 1 year; preferred Level: 2+ years of relevant experience (e.g. analysist, statistician, data scientist, team lead) or proven qualifications
Education:
Preferred Level: Ph.D. and M.S
Preferred Majors: Computer and Information Sciences, Electrical Engineering, Engineering â?Statistics, Engineering - Operations Research, Engineering - Systems Engineering, Mathematical Sciences - Applied Mathematics, Physics
Licenses / Certifications: Required: None listed, Preferred: None listed
Technical Skills:
Advanced machine learning techniques and algorithms, e.g. gradient boosting, random forests, neural networks, SVMs
Advanced statistical techniques, e.g. Bayesian, sampling and experimental design
Excellent knowledge in R and/or Python
Knowledge of big data and Hadoop-stack technologies, especially: Spark (preferably pyspark) and Hive
Knowledge of SQL and relational databases
Experience with sensor/signal data is a plus
Experience with image processing and Deep Learning is a plus
Skills and Abilities:
Planning and Organizing
Identifying and Considering Alternatives
Analytical Thinking
Communication Skills
Initiative



Work Conditions


Company Overview
Norfolk Southern Corporation (NYSE: NSC) is one of the nationâs premier transportation companies. Its Norfolk Southern Railway Company subsidiary operates approximately 19,500 route miles in 22 states and the District of Columbia, serves every major container port in the eastern United States, and provides efficient connections to other rail carriers. Norfolk Southern operates the most extensive intermodal network in the East and is a major transporter of coal, automotive, and industrial products.

We are a team of more than 28,000 employees working together to maintain our reputation as ""The Thoroughbred of Transportation"". As an industry leader, Norfolk Southern offers a competitive salary and an excellent benefits package.
Norfolk Southern is an equal opportunity employer including veterans and disabled.","Atlanta, GA 30309 "
24,Data Scientist,Equifax,"Job Number: 16614
Position Title:
External Description:

The Data Scientist will perform complex modeling and algorithm development on large data sets to resolve disparate data into a single real world entity and develop relationship structures among entities. Typical solutions will use probabilistic matching, machine learning and graph theory to resolve entities, and very large scale structured and unstructured data sets. Additional responsibilities will be to develop proven processes to enhance data, develop quantitative and qualitative analysis to validate recommendations and create clear presentations.

Essential Job Functions:

Analyzing, processing, evaluating and documenting large data sets
Identifying/developing appropriate machine learning/data mining/text mining techniques to resolve entities and create relationships
Prototyping tools and techniques to solve complex data problems
Developing data driven models to quantify the value of a given data set
Applying, modifying and inventing algorithms to solve challenging business problems
Validating entity resolution and linking capabilities
Conducting ROI and benefit analysis
Documenting and presenting process and performance measurements

Requirements:
Bachelor's required, Master's preferred
Advanced degree in Machine Learning, Computer Science, Electrical Engineering, Physics, Statistics, Applied Math or other quantitative fields
A minimum of 7+ years of working experience in analytics, data mining, data visualization, and/or predictive modeling
Strong business acumen
Demonstrated ability to lead and execute projects from start to finish
Ability to independently support existing products
Proven track record in modifying and applying advanced algorithms to address practical problems
Experience with graph and probabilistic technology
Proven ability to work independently on development of complex models with extremely large and complex data structures
Proficient in more than one of SQL, Python, R, Java, C++, C, Elastic Search and Solr
Robust knowledge and experience with statistical methods and hypothesis testing
Experience with Hadoop and NoSQL related technologies such as Map Reduce, Spark, Hive, Pig, HBase, mongoDB, Cassandra, etc.
Experience with transforming large sets of structured, semi structured and unstructured data into useable information
#LI-CH1

Primary Location:
USA-Atlanta-One-Atlantic-Center

USA-Atlanta JV White

Function:
Function - Data and Analytics

Schedule:
Full time

City: Atlanta
Location_formattedLocationLong: Atlanta, Georgia US
State: Georgia
Community / Marketing Title: Data Scientist, Keying &amp; Linking
Company Profile:
Requisition Number: J00061970
EEO Employer Verbiage: &lt;p&gt;Equifax is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.&lt;/p&gt;","Atlanta, GA"
25,Data Scientist,AirSage,"AirSage has been in the business of providing Population Level Mobility Analytics by processing Big Data since before the term was widely understood. Weâve always had to contend with billions of daily records and we have evolved from custom file system based queuing systems and manually partitioned compute clusters to using the current state of the art Big Data workhorses. Our latest systems have been built on Kafka, Cassandra, Accumulo and Spark on Yarn. We are moving to a hybrid infrastructure model with web APIs and customer portals on the cloud while keeping the core of our computing capacity on premises. We are seeking an experienced Data Scientist to help enhance the company's unique product offering using up to date Big Data technologies.

The Data Scientist is expected to have an active role in all stages of our application life cycle - from initial discussions regarding matching of analytical capabilities with new business cases, through initial implementation of new quantitative techniques, their testing and validation, to deployment and review of production results. The role requires working collaboratively with other functional areas outside of Software Development, particularly with Data Services but also with Operations.

Essential duties and responsibilities:
Analyzing, designing metrics and then evaluating and documenting very large data sets

Choosing and/or developing appropriate machine learning techniques to classify and identify meaningful geospatial/temporal features in data

Developing data driven models to quantify the value of a given data set

Prototyping techniques to solve complex data problems

Applying, modifying and inventing algorithms to solve challenging data and business problems

Documenting and presenting process and performance measurements

Experience following defined software development process: Perform documentation, design, code, and defect reviews

Conducting ROI and benefit analysis

Collaborate with our domain experts in our Data Services group to enhance our products coming from our R&amp;D team

Required skills:
Demonstrable experience in:
Survey and experiment design

Geospatial and temporal sampling techniques and analysis

Pattern recognition

Statistical Analysis

Passion for empirical research and for answering hard questions with information derived from data

10+ years of experience in Statistical Analysis

5 years of experience working with one of Matlab, SAS, R, S+ or Octave

Other highly valued skills:
Experience programming in Python and/or Scala

Experience with PyLab, Jupiter/Hue, Spark on Hadoop

Computer vision techniques

Time series analysis

Log parsing

Distributed key-value databases

Understanding of time zones and local time

Experience with PostgreSQL and PostGIS

GIS visualization Tools

Education/Experience Requirements :
MSc degree in Applied Statistics, Applied Math, or related quantitative discipline

3-5 years of experience in a similar role

Qualified candidates should respond to this Job Posting by submitting their resume, including their salary history and references. Please do not apply if you are not comfortable working in a fast-paced, entrepreneurial environment. Please, No head-hunters or agencies.

Our Company is an equal opportunity organization. We recruit, employ, train, compensate, and promote without regard to race, religion, creed, color, national origin, age, gender, sexual orientation, marital status, disability, veteran status, or any other basis protected by applicable federal, state or local law.","Atlanta, GA"
28,Data Scientist,The Home Depot,"Position Purpose:
At HomeDepot.com, our award-winning e-Commerce team is blazing a trail of retail shopping innovation by leveraging cutting-edge technology with our 2,200+ store locations and a relentless focus on customer service. We have been named one of the world's most innovative companies and we are on a mission to provide the best interconnected shopping experience to our consumers. To do so, we need more dreamers, innovators and big thinkers passionate about re-imagining the future of retail. Interested in making history with us? If so, apply today to experience what itâs like to be a part of our HomeDepot.com team. Who knows? Your next big idea may just change the future of retail!

Our Data Scientists are pioneers in building the next generation of retail interconnected experience for homedepot.com by leveraging Artificial Intelligence and Statistics. With deep learning, machine learning, predictive modeling, NLP, pattern recognition and computer vision, we innovate and implement cutting-edge solutions to surprise and delight our customers. By partnering with business leaders, this role will turn business strategy into reality and make a game-changing impact to customer experience and the bottom line performance of homedepot.com.

What youâll do:
Develop algorithms on large-scale datasets using deep learning, machine learning, statistical modeling, and data mining techniques
Implement scalable and efficient modeling algorithms that can work with large-scale data in production systems
Collaborate with product management and engineering groups to develop new products and features
Build customer segmentation, personalized recommendation, automated chat bots, image recognition, etc.
Communicate and present your reasoning, methodology and results to peers and leadership team
Continuously seek for opportunities to learn and improve knowledge, skills and processes.
What you need to succeed
PhD or MS degree in Computer Science, Electrical Engineering, Statistics, Applied Math, Econometrics, Operations Research, or other related fields.
Deep understanding of statistical modeling, machine learning, or data mining concepts, and a track record of solving problems with these methods.
Proficient in one or more machine learning or statistical modeling tools such as ScikitLearn, Tensorflow, and R
Strong analytical and quantitative problem solving ability.
Excellent communication skills with both technical and business people, able to speak at a level appropriate for the audience.
Strong autonomy and team player
Preferred Qualifications
Experience with Google Cloud Platform (such as BigQuery, Compute Engine, Data Flow, ..)
Experience with relational (SQL) and NoSQL Databases
Experience with developing products deployed to production
Experience in developing Search, Recommendation, Visual and/or Language applications Major Tasks, Responsibilities and Key Accountabilities:

50%-Design and develop algorithms and models to use against large datasets to create business insights
20%-Establish scalable, efficient processes for large scale data analyses, model development and model implementation
20%-Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations
10%-Communicate and educate technical and non-technical employees on analytics and data-driven decision making Nature and Scope:

This position reports to Director of Data Science, or Sr. Manager, Data Science
This position has no direct reports

Environment:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable. Travel:

Typically requires overnight travel less than 10% of the time. Minimum Qualifications:

Must be eighteen years of age or older.
Must be legally permitted to work in the United States. Education Required:

The knowledge, skills and abilities typically acquired through the completion of a master's degree program or equivalent degree in a field of study related to the job. Years of Relevant Work Experience: 0 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles. Knowledge, Skills, Abilities and Competencies:

Ability to build scalable systems that analyze huge data sets and make actionable recommendations
Strong communication and data presentation skills
Ability to quickly adapt to new technologies, tools and techniques
Flexible and responsive; able to perform in a fast paced, dynamic work environment and meet aggressive deadlines
Ability to work with technical and non-technical team members","Atlanta, GA"
